id,created_at,changed_at,user,batch,credits,state,type
29817,2025-03-31 21:31:24.751861+00:00,2025-04-03 07:24:00.831870+00:00,STUD13169,293,662,PAID,MONEY
29816,2025-03-31 20:06:21.156583+00:00,2025-04-03 07:24:00.929169+00:00,STUD19488,293,520,PAID,MONEY
29815,2025-03-31 19:56:50.630921+00:00,2025-04-03 07:24:01.023441+00:00,STUD43755,293,643,PAID,MONEY
29814,2025-03-31 19:20:35.157528+00:00,2025-04-03 07:24:01.225282+00:00,STUD49672,293,506,PAID,MONEY
29813,2025-03-31 18:55:40.862656+00:00,2025-04-03 07:24:01.335890+00:00,STUD57853,293,818,PAID,MONEY
29812,2025-03-31 18:41:12.804019+00:00,2025-04-02 08:26:22.447374+00:00,STUD15451,None,924,APPROVED,HANDIPET
29811,2025-03-31 18:16:24.396126+00:00,2025-04-03 07:24:01.496247+00:00,STUD54946,293,504,PAID,MONEY
29810,2025-03-31 17:26:48.741744+00:00,2025-04-03 07:24:01.638411+00:00,STUD32877,293,503,PAID,MONEY
29809,2025-03-31 17:25:42.644393+00:00,2025-04-03 07:24:01.766340+00:00,STUD66854,293,502,PAID,MONEY
29808,2025-03-31 17:20:39.920675+00:00,2025-04-03 07:24:01.918601+00:00,STUD9471,293,501,PAID,MONEY
29807,2025-03-31 17:02:04.875836+00:00,2025-04-03 07:24:02.031370+00:00,STUD88829,293,2017,PAID,MONEY
29806,2025-03-31 17:01:15.331417+00:00,2025-04-03 07:24:02.145653+00:00,STUD17103,293,520,PAID,MONEY
29805,2025-03-31 16:50:41.872815+00:00,2025-04-03 07:24:02.299788+00:00,STUD76315,293,1141,PAID,MONEY
29804,2025-03-31 16:22:18.008209+00:00,2025-04-03 07:24:02.418871+00:00,STUD11963,293,1540,PAID,MONEY
29803,2025-03-31 15:49:11.376877+00:00,2025-04-03 07:24:02.529999+00:00,STUD50041,293,656,PAID,MONEY
29802,2025-03-31 15:46:01.074798+00:00,2025-04-03 07:24:02.626855+00:00,STUD55161,293,502,PAID,MONEY
29801,2025-03-31 15:45:18.169736+00:00,2025-04-03 07:24:02.734925+00:00,STUD87159,293,502,PAID,MONEY
29800,2025-03-31 15:29:06.402569+00:00,2025-04-03 07:24:02.844004+00:00,STUD30888,293,516,PAID,MONEY
29799,2025-03-31 15:08:18.956466+00:00,2025-04-03 07:24:02.936199+00:00,STUD85811,293,610,PAID,MONEY
29798,2025-03-31 15:03:31.346337+00:00,2025-04-03 07:24:03.035440+00:00,STUD82407,293,512,PAID,MONEY
29797,2025-03-31 14:54:18.956796+00:00,2025-04-03 07:24:03.161585+00:00,STUD86491,293,500,PAID,MONEY
29796,2025-03-31 14:50:54.102464+00:00,2025-04-03 07:24:03.454513+00:00,STUD48073,293,500,PAID,MONEY
29795,2025-03-31 14:07:21.276641+00:00,2025-04-03 07:24:03.546517+00:00,STUD97401,293,506,PAID,MONEY
29794,2025-03-31 13:30:00.104768+00:00,2025-04-03 07:24:03.641407+00:00,STUD52837,293,789,PAID,MONEY
29793,2025-03-31 13:27:45.633030+00:00,2025-04-03 07:24:03.744175+00:00,STUD93045,293,522,PAID,MONEY
29792,2025-03-31 13:03:16.831026+00:00,2025-04-03 07:24:03.846866+00:00,STUD38528,293,542,PAID,MONEY
29791,2025-03-31 12:38:56.065478+00:00,2025-04-03 07:24:03.950179+00:00,STUD22672,293,505,PAID,MONEY
29790,2025-03-31 12:24:57.066769+00:00,2025-04-03 07:24:04.057614+00:00,STUD55300,293,555,PAID,MONEY
29789,2025-03-31 12:22:01.390011+00:00,2025-04-03 07:28:52.804685+00:00,STUD73397,None,503,PAID,MONEY
29788,2025-03-31 12:05:57.229035+00:00,2025-04-03 07:24:04.150714+00:00,STUD24019,293,511,PAID,MONEY
29787,2025-03-31 11:49:11.675246+00:00,2025-04-03 07:24:04.236720+00:00,STUD33278,293,507,PAID,MONEY
29786,2025-03-31 11:31:24.884497+00:00,2025-04-03 07:24:04.323329+00:00,STUD89301,293,509,PAID,MONEY
29785,2025-03-31 11:30:54.449102+00:00,2025-04-03 07:24:04.406541+00:00,STUD39243,293,504,PAID,MONEY
29784,2025-03-31 11:29:24.431640+00:00,2025-04-03 07:24:04.499005+00:00,STUD72247,293,506,PAID,MONEY
29783,2025-03-31 11:26:42.298719+00:00,2025-04-03 07:24:04.673823+00:00,STUD99872,293,679,PAID,MONEY
29782,2025-03-31 11:22:25.303017+00:00,2025-04-03 07:24:04.759675+00:00,STUD37746,293,503,PAID,MONEY
29781,2025-03-31 11:21:57.288798+00:00,2025-04-03 07:24:04.839813+00:00,STUD31737,293,505,PAID,MONEY
29780,2025-03-31 11:18:16.454596+00:00,2025-04-03 07:27:53.719252+00:00,STUD44712,None,506,PAID,MONEY
29779,2025-03-31 11:10:44.064654+00:00,2025-04-03 07:24:04.932382+00:00,STUD33095,293,555,PAID,MONEY
29778,2025-03-31 09:23:39.653411+00:00,2025-04-03 07:24:05.030111+00:00,STUD77353,293,510,PAID,MONEY
29777,2025-03-31 08:10:39.622724+00:00,2025-04-03 07:24:05.132600+00:00,STUD97055,293,632,PAID,MONEY
29776,2025-03-31 07:22:36.963657+00:00,2025-04-03 07:24:05.233510+00:00,STUD23476,293,621,PAID,MONEY
29775,2025-03-31 05:54:45.115985+00:00,2025-04-03 07:24:05.323907+00:00,STUD67877,293,1141,PAID,MONEY
29774,2025-03-30 19:06:59.974006+00:00,2025-04-03 07:24:05.417250+00:00,STUD34109,293,503,PAID,MONEY
29773,2025-03-30 16:56:53.431363+00:00,2025-04-03 07:24:05.505729+00:00,STUD66604,293,1229,PAID,MONEY
29772,2025-03-30 13:55:48.966741+00:00,2025-04-03 07:24:05.669614+00:00,STUD56161,293,521,PAID,MONEY
29771,2025-03-30 11:27:45.422457+00:00,2025-04-03 07:24:05.767709+00:00,STUD44382,293,654,PAID,MONEY
29770,2025-03-30 11:23:06.184344+00:00,2025-04-03 07:24:05.872855+00:00,STUD86093,293,519,PAID,MONEY
29769,2025-03-30 10:26:27.156920+00:00,2025-04-03 07:24:05.960790+00:00,STUD6989,293,546,PAID,MONEY
29768,2025-03-30 09:55:22.739265+00:00,2025-04-03 07:24:06.059763+00:00,STUD72900,293,518,PAID,MONEY
29767,2025-03-30 07:10:16.569763+00:00,2025-04-03 07:24:06.150753+00:00,STUD10414,293,504,PAID,MONEY
29766,2025-03-30 05:39:09.812666+00:00,2025-04-03 07:24:06.251725+00:00,STUD82536,293,1052,PAID,MONEY
29765,2025-03-29 19:29:01.448218+00:00,2025-04-03 07:24:06.375960+00:00,STUD41722,293,1079,PAID,MONEY
29764,2025-03-29 19:22:24.727211+00:00,2025-04-03 07:24:06.507083+00:00,STUD45751,293,513,PAID,MONEY
29763,2025-03-29 19:20:49.842703+00:00,2025-04-03 07:24:06.605600+00:00,STUD71541,293,550,PAID,MONEY
29762,2025-03-29 19:13:05.382295+00:00,2025-04-03 07:24:06.703692+00:00,STUD87444,293,796,PAID,MONEY
29761,2025-03-29 18:46:34.172824+00:00,2025-04-03 07:24:06.790585+00:00,STUD9401,293,511,PAID,MONEY
29760,2025-03-29 18:08:51.946499+00:00,2025-04-03 07:24:06.890131+00:00,STUD83043,293,561,PAID,MONEY
29759,2025-03-29 17:25:12.152148+00:00,2025-04-03 07:24:07.010986+00:00,STUD8392,293,502,PAID,MONEY
29758,2025-03-29 17:04:46.816292+00:00,2025-04-03 05:32:05.192974+00:00,STUD96684,None,0,CANCELLED,MONEY
29757,2025-03-29 16:36:35.939615+00:00,2025-04-03 07:24:07.102227+00:00,STUD99545,293,510,PAID,MONEY
29756,2025-03-29 16:24:49.554555+00:00,2025-04-03 07:24:07.198253+00:00,STUD67403,293,706,PAID,MONEY
29755,2025-03-29 12:41:38.057180+00:00,2025-04-03 05:32:12.142931+00:00,STUD87257,None,0,CANCELLED,MONEY
29754,2025-03-29 12:37:56.811398+00:00,2025-04-03 07:24:07.304541+00:00,STUD76629,293,525,PAID,MONEY
29753,2025-03-29 12:10:48.358644+00:00,2025-04-03 07:24:07.398839+00:00,STUD17527,293,503,PAID,MONEY
29752,2025-03-29 12:09:41.773459+00:00,2025-04-03 07:24:07.488319+00:00,STUD98111,293,1006,PAID,MONEY
29751,2025-03-29 11:01:31.897858+00:00,2025-04-03 07:24:07.575875+00:00,STUD21688,293,504,PAID,MONEY
29750,2025-03-29 10:49:00.887849+00:00,2025-04-03 07:24:07.670181+00:00,STUD84562,293,503,PAID,MONEY
29749,2025-03-29 10:47:16.417350+00:00,2025-04-03 07:24:07.763596+00:00,STUD19622,293,500,PAID,MONEY
29748,2025-03-29 10:44:34.004221+00:00,2025-04-03 07:24:07.874722+00:00,STUD26577,293,502,PAID,MONEY
