user,credits,is_active,is_verified,is_locked,wage
STUD66006,25,1,1,0,Peníze
STUD22095,51,1,1,0,Peníze
STUD77411,0,1,1,1,Peníze
STUD56329,0,1,0,0,NA
STUD23516,30,1,1,0,Peníze
STUD85786,0,0,1,1,Peníze
STUD68456,11,1,1,0,Peníze
STUD87260,26,1,1,0,Peníze
STUD19365,31,1,1,0,Peníze
STUD34273,0,1,1,0,NA
STUD87878,31,1,1,0,Peníze
STUD40897,0,1,0,0,NA
STUD20617,0,1,0,0,NA
STUD61286,0,1,1,0,NA
STUD20313,20,1,0,0,NA
STUD43317,31,1,1,0,Peníze
STUD81641,45,1,1,0,Peníze
STUD78052,0,0,1,0,Peníze
STUD56672,46,1,1,0,Peníze
STUD19566,1,1,1,0,NA
STUD8951,0,1,0,0,NA
STUD75859,51,1,1,0,Peníze
STUD78643,51,1,1,0,Peníze
STUD22250,31,1,1,0,Peníze
STUD56642,51,1,1,0,Peníze
STUD27579,25,1,1,0,Peníze
STUD54421,56,1,1,0,Peníze
STUD20771,30,1,1,0,Peníze
STUD12836,0,1,0,0,NA
STUD32559,51,1,1,0,Peníze
STUD1473,0,1,0,0,NA
STUD80817,51,1,1,0,Peníze
STUD25257,51,1,1,0,Peníze
STUD16469,51,1,1,0,Peníze
STUD19853,66,1,1,0,Peníze
STUD61152,0,0,1,0,Peníze
STUD41462,0,1,0,0,NA
STUD81600,51,1,1,0,Peníze
STUD90949,81,1,1,0,Peníze
STUD43385,65,1,1,0,Peníze
STUD77694,0,0,1,0,Peníze
STUD26437,0,1,0,0,NA
STUD17757,51,1,1,0,Peníze
STUD59053,71,1,1,0,Peníze
STUD8212,71,1,1,0,Peníze
STUD76885,25,1,1,0,Peníze
STUD6611,51,1,1,0,Peníze
STUD14093,0,1,1,1,Peníze
STUD13727,81,1,1,0,Peníze
STUD45540,31,1,1,0,Peníze
STUD73891,81,1,1,0,Peníze
STUD71761,51,1,1,0,Peníze
STUD62458,81,1,1,0,Peníze
STUD66169,0,1,1,0,NA
STUD54604,31,1,1,0,Peníze
STUD69190,11,1,1,0,Peníze
STUD25250,61,1,1,0,Peníze
STUD47701,31,1,1,0,Peníze
STUD41777,0,1,1,0,NA
STUD94985,20,1,0,0,NA
STUD43836,61,1,1,0,Peníze
STUD51312,0,1,0,0,NA
STUD83498,61,1,1,0,Peníze
STUD45630,20,1,0,0,NA
STUD61720,30,1,1,0,Peníze
STUD95594,61,1,1,0,Peníze
STUD94336,81,1,1,0,Peníze
STUD14421,0,1,1,1,Peníze
STUD69310,0,1,0,0,NA
STUD79677,11,1,1,0,Peníze
STUD61841,61,1,1,0,Peníze
STUD4823,61,1,1,0,Peníze
STUD25768,11,1,1,0,Peníze
STUD55578,25,1,1,0,Peníze
STUD33061,20,1,1,0,NA
STUD8027,20,1,1,0,NA
STUD54598,20,1,0,0,NA
STUD46505,46,1,1,0,Peníze
STUD79827,25,1,1,0,Peníze
STUD52428,31,1,1,0,Peníze
STUD9973,81,1,1,0,Peníze
STUD15462,41,1,1,0,Peníze
STUD63852,71,1,1,0,Peníze
STUD43054,71,1,1,0,Peníze
STUD59847,26,1,1,0,Peníze
STUD50570,51,1,1,0,Peníze
STUD2267,0,1,0,0,NA
STUD74222,10,1,1,0,Peníze
STUD53869,61,1,1,0,Peníze
STUD64569,11,1,1,0,Peníze
STUD36351,0,1,1,1,Peníze
STUD93082,55,1,1,0,Peníze
STUD75916,0,1,1,1,Peníze
STUD39928,20,1,1,0,NA
STUD53863,0,0,1,0,Peníze
STUD24027,20,1,0,0,NA
STUD69306,81,1,1,0,Peníze
STUD29415,81,1,1,0,Peníze
STUD90734,20,1,1,0,NA
STUD69473,0,1,0,0,NA
STUD95456,25,1,1,0,Peníze
STUD12613,81,1,1,0,Peníze
STUD96713,0,1,1,0,NA
STUD48835,81,1,1,0,Peníze
STUD20420,71,1,1,0,Peníze
STUD49722,0,1,0,0,NA
STUD72401,20,1,0,0,NA
STUD56151,20,1,1,0,NA
STUD31863,10,1,1,0,Peníze
STUD13918,10,1,1,0,Peníze
STUD51412,81,1,1,0,Peníze
STUD94953,0,1,0,0,NA
STUD31229,71,1,1,0,Peníze
STUD23571,81,1,1,0,Peníze
STUD85761,0,1,0,0,NA
STUD17181,0,1,1,0,NA
STUD91827,0,0,1,0,Peníze
STUD99566,101,1,1,0,Peníze
STUD25363,10,1,1,0,Peníze
STUD5592,81,1,1,0,Peníze
STUD61606,56,1,1,0,Peníze
STUD57758,81,1,1,0,Peníze
STUD20934,31,1,1,0,Peníze
STUD99144,91,1,1,0,Peníze
STUD13109,81,1,1,0,Trendaro
STUD21777,0,1,1,1,Peníze
STUD14209,71,1,1,0,Peníze
STUD9856,0,1,0,0,NA
STUD95644,36,1,1,0,Peníze
STUD76195,26,1,1,0,Peníze
STUD37358,81,1,1,0,Peníze
STUD22875,0,1,1,0,NA
STUD70532,0,1,0,0,NA
STUD4960,0,1,0,0,NA
STUD27922,101,1,1,0,Peníze
STUD77027,0,1,1,1,Peníze
STUD18753,20,1,1,0,NA
STUD17057,20,1,0,0,NA
STUD1956,91,1,1,0,Peníze
STUD69316,30,1,1,0,Peníze
STUD15417,0,1,0,0,NA
STUD37547,91,1,1,0,Peníze
STUD66943,66,1,1,0,Peníze
STUD61022,91,1,1,0,Peníze
STUD53494,111,1,1,0,Peníze
STUD51588,20,1,1,0,Peníze
STUD10422,0,1,1,1,Peníze
STUD92794,91,1,1,0,Peníze
STUD38455,71,1,1,0,Peníze
STUD28840,0,1,0,0,NA
STUD77980,0,1,0,0,NA
STUD60167,91,1,1,0,Peníze
STUD88485,101,1,1,0,Peníze
STUD91401,51,1,1,0,Peníze
STUD11260,26,1,1,0,Peníze
STUD59974,0,1,1,0,NA
STUD24770,11,1,1,0,Peníze
STUD35120,86,1,1,0,Peníze
STUD61941,101,1,1,0,Peníze
STUD69482,101,1,1,0,Peníze
STUD12113,10,1,1,0,Peníze
STUD8692,91,1,1,0,Peníze
STUD89323,66,1,1,0,Peníze
STUD33993,20,1,0,0,NA
STUD72782,91,1,1,0,Peníze
STUD47506,76,1,1,0,Peníze
STUD56178,35,1,1,0,Peníze
STUD56415,35,1,1,0,Peníze
STUD65554,11,1,1,0,Peníze
STUD9551,31,1,1,0,Peníze
STUD48386,1,1,1,0,NA
STUD69535,91,1,1,0,Peníze
STUD76721,0,1,1,1,Peníze
STUD96674,0,1,0,0,NA
STUD87334,20,1,0,0,NA
STUD61085,66,1,1,0,Peníze
STUD81506,20,1,0,0,NA
STUD69839,0,1,0,0,NA
STUD46547,91,1,1,0,Peníze
STUD32347,31,1,1,0,Peníze
STUD79636,0,1,1,0,NA
STUD5849,101,1,1,0,Peníze
STUD55787,0,1,0,0,NA
STUD16121,31,1,1,0,Peníze
STUD73578,101,1,1,0,Peníze
STUD70029,101,1,1,0,Peníze
STUD46192,25,1,1,0,Peníze
STUD13586,71,1,1,0,Peníze
STUD7665,101,1,1,0,Peníze
STUD28066,31,1,1,0,Peníze
STUD28258,71,1,1,0,Peníze
STUD74381,106,1,1,0,Peníze
STUD32682,66,1,1,0,Peníze
STUD9529,101,1,1,0,Peníze
STUD56527,101,1,1,0,Peníze
STUD73794,121,1,1,0,Peníze
STUD59745,0,1,1,1,Peníze
STUD25832,0,1,1,0,NA
STUD427,41,1,1,0,Peníze
STUD53806,71,1,1,0,Peníze
STUD17563,25,1,1,0,Peníze
STUD76957,31,1,1,0,Peníze
STUD78044,51,1,1,0,Peníze
STUD24156,30,1,1,0,Peníze
STUD5494,96,1,1,0,Peníze
STUD91855,91,1,1,0,Peníze
STUD28559,20,1,0,0,NA
STUD61106,96,1,1,0,Peníze
STUD92330,121,1,1,0,Peníze
STUD43925,46,1,1,0,Peníze
STUD19951,20,1,0,0,NA
STUD47872,101,1,1,0,Peníze
STUD81460,0,1,0,0,NA
STUD51609,20,1,1,0,NA
STUD50814,0,1,0,0,NA
