table_source,attibute,description,question,,,,,,,
PAYMENTS,id,,,,,,,,,
,created_at,,,,,,,,,Don't use in model
,changed_at,,,,,,,,,Use in model
,user,,,,,,,,,Don't understand
,batch,,,,,,,,,
,credits_x,,,,,,,,,
,state,,,,,,,,,
,type,,,,,,,,,
CREDITS,credits_y,,,,,,,,,
,is_active,,,,,,,,,
,is_verified,,,,,,,,,
,is_locked,,,,,,,,,
,wage,,,,,,,,,
,user_id,,,,,,,,,
ATLAS CECHU,all_intro-2022,,,,,,,,,
,atlas_vzorek-2023,,,,,,,,,
,atlas_vzorek-2024,,,,,,,,,
,all_intro-trendaro_panel_all,,,,,,,,,
,sex-woman,,,,,,,,,
,sex-man,,,,,,,,,
,age-15_17,,,,,,,,,
,age-18_24,,,,,,,,,
,age-25_34,,,,,,,,,
,age-35_44,,,,,,,,,
,age-45_54,,,,,,,,,
,age-55_64,,,,,,,,,
,age-65_plus,,,,,,,,,
,education_level-basic,,,,,,,,,
,education_level-high_bezmat,,,,,,,,,
,education_level-high_smat,,,,,,,,,
,education_level-university,,,,,,,,,
,city_size-0_2,,,,,,,,,
,city_size-2_10,,,,,,,,,
,city_size-10_50,,,,,,,,,
,city_size-over50,,,,,,,,,
,kraj-stredocesky,,,,,,,,,
,kraj-jihocesky,,,,,,,,,
,kraj-plzensky,,,,,,,,,
,kraj-karlovarsky,,,,,,,,,
,kraj-ustecky,,,,,,,,,
,kraj-liberecky,,,,,,,,,
,kraj-kralovehradecky,,,,,,,,,
,kraj-pardubicky,,,,,,,,,
,kraj-olomoucky,,,,,,,,,
,kraj-moravskoslezsky,,,,,,,,,
,kraj-jihomoravsky,,,,,,,,,
,kraj-zlinsky,,,,,,,,,
,kraj-vysocina,,,,,,,,,
,income_level-high,,,,,,,,,
,income_level-mid,,,,,,,,,
,income_level-low,,,,,,,,,
,ea-student,,,,,,,,,
,ea-maternity_leave,,,,,,,,,
,ea-unemployed,,,,,,,,,
,ea-pensioner,,,,,,,,,
,ea-fulltime,,,,,,,,,
,elected_2021-no,,,,,,,,,
,elected_2021-ano_2011,,,,,,,,,
,elected_2021-spolu,,,,,,,,,
