iter	Accuracy	CrossEntropy
0	0.7155077102	0.6698622814
1	0.770730288	0.6375672128
2	0.7838521967	0.6124899057
3	0.7977887693	0.5884769076
4	0.8040442246	0.5760256726
5	0.8101832994	0.5659755142
6	0.8135292406	0.555150972
7	0.8124236253	0.5396364556
8	0.8174570847	0.5260247823
9	0.8228105906	0.518674842
10	0.8258364853	0.5115840692
11	0.8265347687	0.497132204
12	0.8273494326	0.4896722457
13	0.8296188537	0.4841052684
14	0.8299679953	0.4729852109
15	0.8313936573	0.4676930158
16	0.8308699447	0.4576198531
17	0.8323247018	0.4529211215
18	0.8323537969	0.4463622856
19	0.8314227524	0.439425479
20	0.8327611289	0.4354212785
21	0.8349723596	0.4283479343
22	0.8370381146	0.4253239848
23	0.8377654932	0.4214695937
24	0.8380855397	0.4167957727
25	0.8389292988	0.4106175863
26	0.8407913878	0.4073684048
27	0.8419842886	0.4039259823
28	0.8459121327	0.400509792
29	0.8466977015	0.3974007876
30	0.8469304626	0.3946029667
31	0.8479487926	0.3921188013
32	0.8483852197	0.388406763
33	0.84844341	0.3846561593
34	0.8491998836	0.3822673804
35	0.8509455921	0.3796827684
36	0.8528658714	0.3777565047
37	0.8544661042	0.3756201046
38	0.8545824847	0.3739586901
39	0.8555717195	0.3712259426
40	0.8552225778	0.3693116325
41	0.8564445738	0.3667043355
42	0.8583939482	0.3652147903
43	0.8590340413	0.3633984904
44	0.8599650858	0.3618813927
45	0.8610707012	0.3605460281
46	0.8628455048	0.3588699363
47	0.8632237416	0.3569014097
48	0.864736689	0.3552184633
49	0.8650567355	0.3539374808
50	0.866191446	0.3522609812
51	0.8670352051	0.3503115597
52	0.8676752982	0.3486500515
53	0.8680826302	0.3472238922
54	0.8688391039	0.3457953786
55	0.8697992435	0.3442075922
56	0.8706720978	0.3426226579
57	0.8713121909	0.341664253
58	0.8716322374	0.3395867345
59	0.8729124236	0.3386636198
60	0.8738725633	0.3369304459
61	0.8751818446	0.3352551019
62	0.8754146058	0.3340836319
63	0.875676462	0.3329729275
64	0.87628746	0.3314064737
65	0.8766656968	0.3300374815
66	0.8774221705	0.3289239599
67	0.8773639802	0.3268279006
68	0.8782368344	0.3258925067
69	0.878353215	0.3242575112
70	0.8789933081	0.3231284336
71	0.8790224033	0.3211318567
72	0.8790224033	0.3196934089
73	0.8803025895	0.3182197866
74	0.881233634	0.3168258532
75	0.8815245854	0.3156491537
76	0.8821646785	0.3149904093
77	0.8829211522	0.3141724056
78	0.8835321501	0.3132542467
79	0.8836776258	0.3116884172
80	0.8848123363	0.3102686027
81	0.8850741926	0.3092831858
82	0.8860343323	0.307618692
83	0.8863252837	0.3065023363
84	0.8873436136	0.3051337334
85	0.8879546116	0.304314764
86	0.8888856561	0.3031345636
87	0.8892057026	0.3024041903
88	0.8895257492	0.3015897324
89	0.8899330812	0.3001425563
90	0.8902240326	0.2993974003
91	0.8907477451	0.2981004925
92	0.8913005528	0.2970114477
93	0.8914169334	0.2962999574
94	0.8919406459	0.2954068753
95	0.8923479779	0.2945430873
96	0.8931044516	0.2935198934
97	0.8938609252	0.2924661804
98	0.8939482106	0.2912714665
99	0.8947337795	0.2900713223
100	0.895053826	0.2893829901
101	0.8954029677	0.2881223026
102	0.8956066337	0.2873876205
103	0.89586849	0.2866456714
104	0.8963340122	0.2859098782
105	0.8966249636	0.2850085198
106	0.8969450102	0.283966695
107	0.8972650567	0.283275591
108	0.8974687227	0.282700786
109	0.8980797207	0.2818754717
110	0.898341577	0.2814196785
111	0.8988361944	0.2806370837
112	0.8990398603	0.279885422
113	0.8990398603	0.2790069947
114	0.8992144312	0.2781691237
115	0.8997381437	0.2773467854
116	0.9000872854	0.2767180393
117	0.9002327611	0.2761008964
118	0.900610998	0.2749879385
119	0.9007564737	0.2739464166
120	0.9014256619	0.2730268162
121	0.9016293279	0.2723744201
122	0.9016002328	0.2718967516
123	0.9017457085	0.2712356971
124	0.9021530404	0.2703864753
125	0.9023567064	0.2693944653
126	0.9028513238	0.268827592
127	0.9031422752	0.2682073144
128	0.9035205121	0.2676920833
129	0.9034914169	0.2668706413
130	0.9036659878	0.2661496611
131	0.9039860343	0.2655545916
132	0.9041024149	0.264939419
133	0.9045970323	0.2642314694
134	0.9048006983	0.2634662914
135	0.9045679372	0.2628175416
136	0.9052662205	0.2619761951
137	0.9057899331	0.2613574727
138	0.9060517894	0.2608441679
139	0.9058481234	0.260460622
140	0.9061390748	0.2597990653
141	0.9066627873	0.2592784137
142	0.9070701193	0.2585830377
143	0.9072446901	0.2580256834
144	0.9072446901	0.2574771033
145	0.9073028804	0.25668351
146	0.9077102124	0.255872621
147	0.9078847832	0.2551733919
148	0.9081466395	0.2545824914
149	0.9085539715	0.2541404462
150	0.9091067792	0.2534234344
151	0.9095432063	0.2525990996
152	0.909485016	0.2520746103
153	0.9095141111	0.2516290815
154	0.910096014	0.2510568821
155	0.9101832994	0.2505447429
156	0.9101832994	0.2498588971
157	0.9102123945	0.2494056583
158	0.9105033459	0.2489356062
159	0.9107070119	0.248392932
160	0.911143439	0.2478212252
161	0.9112598196	0.2472273138
162	0.9116380564	0.2466341623
163	0.9119290079	0.2460766766
164	0.9121908641	0.245618701
165	0.9120744836	0.2447585766
166	0.9124236253	0.2439932115
167	0.9125400058	0.2436050467
168	0.9129764329	0.2429757139
169	0.9132673843	0.2421519252
170	0.913820192	0.241457927
171	0.9141111434	0.2408621162
172	0.9143439046	0.2402495696
173	0.9145475706	0.2396402001
174	0.9147221414	0.2388549353
175	0.9149258074	0.2381450026
176	0.9151294734	0.2375938079
177	0.9155368054	0.2370677919
178	0.9157695665	0.2363637455
179	0.9158568519	0.2358760916
180	0.9159150422	0.2353478284
181	0.916089613	0.2347709675
182	0.9165260402	0.2342172295
183	0.916700611	0.23383309
184	0.9168169916	0.2332686654
185	0.9168751818	0.2327736768
186	0.9168460867	0.2322373091
187	0.9174570847	0.2317855875
188	0.9176025604	0.2313353398
189	0.9179226069	0.2309720345
190	0.9178353215	0.2302107143
