iter	Passed	Remaining
0	129	103490
1	253	101139
2	379	100850
3	504	100488
4	628	99949
5	753	99758
6	876	99305
7	1000	99084
8	1127	99057
9	1255	99184
10	1401	100558
11	1529	100426
12	1655	100247
13	1781	100011
14	1908	99854
15	2053	100633
16	2178	100341
17	2306	100189
18	2429	99885
19	2552	99551
20	2677	99332
21	2800	99026
22	2923	98753
23	3047	98546
24	3171	98307
25	3297	98176
26	3421	97952
27	3545	97744
28	3672	97629
29	3797	97475
30	3925	97383
31	4048	97154
32	4169	96911
33	4295	96764
34	4421	96639
35	4543	96418
36	4667	96259
37	4791	96074
38	4915	95906
39	5038	95731
40	5160	95535
41	5284	95371
42	5411	95262
43	5534	95099
44	5658	94933
45	5782	94784
46	5907	94642
47	6029	94458
48	6152	94303
49	6283	94258
50	6407	94109
51	6530	93935
52	6654	93787
53	6784	93722
54	6909	93589
55	7033	93444
56	7154	93265
57	7278	93111
58	7402	92976
59	7524	92806
60	7652	92708
61	7777	92583
62	7904	92473
63	8029	92339
64	8152	92182
65	8276	92042
66	8400	91903
67	8526	91785
68	8650	91648
69	8773	91494
70	8897	91357
71	9021	91213
72	9145	91083
73	9281	91063
74	9407	90943
75	9532	90807
76	9656	90667
77	9780	90533
78	9905	90403
79	10035	90323
80	10157	90160
81	10280	90021
82	10405	89888
83	10528	89739
84	10652	89609
85	10775	89461
86	10902	89354
87	11029	89239
88	11153	89101
89	11277	88963
90	11402	88841
91	11527	88714
92	11652	88586
93	11778	88461
94	11901	88325
95	12028	88211
96	12210	88494
97	12334	88354
98	12459	88221
99	12584	88094
100	12708	87955
101	12834	87831
102	12957	87686
103	13081	87546
104	13207	87421
105	13332	87289
106	13456	87155
107	13579	87009
108	13705	86884
109	13830	86755
110	13955	86622
111	14079	86486
112	14202	86347
